Column1,recordType,startTimeOfHalfHrPeriod,settlementPeriod,initialForecastPublishingPeriodCommencingTime,initialForecastSpnGeneration,latestForecastPublishingPeriodCommencingTime,latestForecastSpnGeneration,outTurnPublishingPeriodCommencingTime,fuelTypeGeneration,activeFlag,EFA,
94,WIND,08/11/2021,47,07/11/2021 02:30,11742,08/11/2021 22:30,9586,08/11/2021 23:30,6614,Y,1,
95,WIND,08/11/2021,48,NULL,NULL,NULL,NULL,09/11/2021 00:00,6614,Y,1,
96,WIND,09/11/2021,1,07/11/2021 02:30,11895,08/11/2021 22:30,9216,09/11/2021 00:30,6591,Y,1,
97,WIND,09/11/2021,2,NULL,NULL,NULL,NULL,09/11/2021 01:00,6728,Y,1,
98,WIND,09/11/2021,3,07/11/2021 02:30,11779,08/11/2021 22:30,8841,09/11/2021 01:30,6888,Y,1,
99,WIND,09/11/2021,4,NULL,NULL,NULL,NULL,09/11/2021 02:00,7284,Y,1,
100,WIND,09/11/2021,5,07/11/2021 02:30,11619,08/11/2021 22:30,8602,09/11/2021 02:30,7254,Y,1,
101,WIND,09/11/2021,6,NULL,NULL,NULL,NULL,09/11/2021 03:00,7925,Y,2,
102,WIND,09/11/2021,7,07/11/2021 02:30,11420,08/11/2021 22:30,8332,09/11/2021 03:30,8178,Y,2,
103,WIND,09/11/2021,8,NULL,NULL,NULL,NULL,09/11/2021 04:00,8051,Y,2,
104,WIND,09/11/2021,9,07/11/2021 02:30,11226,08/11/2021 22:30,8178,09/11/2021 04:30,8159,Y,2,
105,WIND,09/11/2021,10,NULL,NULL,NULL,NULL,09/11/2021 05:00,8151,Y,2,
106,WIND,09/11/2021,11,07/11/2021 02:30,11010,08/11/2021 22:30,8074,09/11/2021 05:30,8189,Y,2,
107,WIND,09/11/2021,12,NULL,NULL,NULL,NULL,09/11/2021 06:00,8012,Y,2,
108,WIND,09/11/2021,13,07/11/2021 02:30,10776,08/11/2021 22:30,7975,09/11/2021 06:30,7798,Y,2,
109,WIND,09/11/2021,14,NULL,NULL,NULL,NULL,09/11/2021 07:00,7281,Y,3,
110,WIND,09/11/2021,15,07/11/2021 02:30,10690,08/11/2021 22:30,8117,09/11/2021 07:30,7170,Y,3,
111,WIND,09/11/2021,16,NULL,NULL,NULL,NULL,09/11/2021 08:00,7197,Y,3,
112,WIND,09/11/2021,17,07/11/2021 02:30,10586,08/11/2021 22:30,8301,09/11/2021 08:30,7329,Y,3,
113,WIND,09/11/2021,18,NULL,NULL,NULL,NULL,09/11/2021 09:00,7481,Y,3,
114,WIND,09/11/2021,19,07/11/2021 02:30,10463,08/11/2021 22:30,8517,09/11/2021 09:30,7631,Y,3,
115,WIND,09/11/2021,20,NULL,NULL,NULL,NULL,09/11/2021 10:00,7973,Y,3,
116,WIND,09/11/2021,21,07/11/2021 02:30,10487,08/11/2021 22:30,8569,09/11/2021 10:30,8201,Y,3,
117,WIND,09/11/2021,22,NULL,NULL,NULL,NULL,09/11/2021 11:00,8504,Y,4,
118,WIND,09/11/2021,23,07/11/2021 02:30,10506,08/11/2021 22:30,8685,09/11/2021 11:30,8681,Y,4,
119,WIND,09/11/2021,24,NULL,NULL,NULL,NULL,09/11/2021 12:00,9074,Y,4,
120,WIND,09/11/2021,25,07/11/2021 02:30,10516,08/11/2021 22:30,8783,09/11/2021 12:30,9290,Y,4,
121,WIND,09/11/2021,26,NULL,NULL,NULL,NULL,09/11/2021 13:00,9232,Y,4,
122,WIND,09/11/2021,27,07/11/2021 02:30,10377,08/11/2021 22:30,8655,09/11/2021 13:30,9049,Y,4,
123,WIND,09/11/2021,28,NULL,NULL,NULL,NULL,09/11/2021 14:00,8988,Y,4,
124,WIND,09/11/2021,29,07/11/2021 02:30,10228,08/11/2021 22:30,8312,09/11/2021 14:30,8575,Y,4,
125,WIND,09/11/2021,30,NULL,NULL,NULL,NULL,09/11/2021 15:00,8189,Y,5,
126,WIND,09/11/2021,31,07/11/2021 02:30,10069,08/11/2021 22:30,7917,09/11/2021 15:30,8054,Y,5,
127,WIND,09/11/2021,32,NULL,NULL,NULL,NULL,09/11/2021 16:00,7873,Y,5,
128,WIND,09/11/2021,33,07/11/2021 02:30,10066,08/11/2021 22:30,7767,09/11/2021 16:30,7527,Y,5,
129,WIND,09/11/2021,34,NULL,NULL,NULL,NULL,09/11/2021 17:00,7526,Y,5,
130,WIND,09/11/2021,35,07/11/2021 02:30,10060,08/11/2021 22:30,7644,09/11/2021 17:30,7716,Y,5,
131,WIND,09/11/2021,36,NULL,NULL,NULL,NULL,09/11/2021 18:00,7643,Y,5,
132,WIND,09/11/2021,37,07/11/2021 02:30,10053,08/11/2021 22:30,7729,09/11/2021 18:30,7555,Y,5,
133,WIND,09/11/2021,38,NULL,NULL,NULL,NULL,09/11/2021 19:00,7503,Y,6,
134,WIND,09/11/2021,39,07/11/2021 02:30,9956,08/11/2021 22:30,8051,09/11/2021 19:30,7543,Y,6,
135,WIND,09/11/2021,40,NULL,NULL,NULL,NULL,09/11/2021 20:00,7687,Y,6,
136,WIND,09/11/2021,41,07/11/2021 02:30,9855,08/11/2021 22:30,8241,09/11/2021 20:30,7598,Y,6,
137,WIND,09/11/2021,42,NULL,NULL,NULL,NULL,09/11/2021 21:00,7720,Y,6,
138,WIND,09/11/2021,43,07/11/2021 02:30,9752,09/11/2021 22:30,8006,09/11/2021 21:30,7943,Y,6,
139,WIND,09/11/2021,44,NULL,NULL,NULL,NULL,09/11/2021 22:00,7913,Y,6,
140,WIND,09/11/2021,45,08/11/2021 02:30,7387,09/11/2021 22:30,7897,09/11/2021 22:30,7676,Y,6,
141,WIND,09/11/2021,46,NULL,NULL,NULL,NULL,09/11/2021 23:00,7804,Y,1,
142,WIND,09/11/2021,47,08/11/2021 02:30,7130,09/11/2021 22:30,7645,09/11/2021 23:30,8206,Y,1,
143,WIND,09/11/2021,48,NULL,NULL,NULL,NULL,10/11/2021 00:00,8181,Y,1,
0,WIND,10/11/2021,1,08/11/2021 02:30,6871,09/11/2021 22:30,7308,10/11/2021 00:30,8027,Y,1,
1,WIND,10/11/2021,2,NULL,NULL,NULL,NULL,10/11/2021 01:00,8078,Y,1,
2,WIND,10/11/2021,3,08/11/2021 02:30,6301,09/11/2021 22:30,6707,10/11/2021 01:30,7809,Y,1,
3,WIND,10/11/2021,4,NULL,NULL,NULL,NULL,10/11/2021 02:00,7403,Y,1,
4,WIND,10/11/2021,5,08/11/2021 02:30,5778,09/11/2021 22:30,6086,10/11/2021 02:30,6783,Y,1,
5,WIND,10/11/2021,6,NULL,NULL,NULL,NULL,10/11/2021 03:00,6416,Y,2,
6,WIND,10/11/2021,7,08/11/2021 02:30,5314,09/11/2021 22:30,5375,10/11/2021 03:30,5809,Y,2,
7,WIND,10/11/2021,8,NULL,NULL,NULL,NULL,10/11/2021 04:00,5050,Y,2,
8,WIND,10/11/2021,9,08/11/2021 02:30,4836,09/11/2021 22:30,4608,10/11/2021 04:30,4508,Y,2,
9,WIND,10/11/2021,10,NULL,NULL,NULL,NULL,10/11/2021 05:00,4134,Y,2,
10,WIND,10/11/2021,11,08/11/2021 02:30,4402,09/11/2021 22:30,3948,10/11/2021 05:30,4032,Y,2,
11,WIND,10/11/2021,12,NULL,NULL,NULL,NULL,10/11/2021 06:00,3780,Y,2,
12,WIND,10/11/2021,13,08/11/2021 02:30,4007,09/11/2021 22:30,3547,10/11/2021 06:30,3594,Y,2,
13,WIND,10/11/2021,14,NULL,NULL,NULL,NULL,10/11/2021 07:00,3416,Y,3,
14,WIND,10/11/2021,15,08/11/2021 02:30,3715,09/11/2021 22:30,3260,10/11/2021 07:30,3221,Y,3,
15,WIND,10/11/2021,16,NULL,NULL,NULL,NULL,10/11/2021 08:00,3008,Y,3,
16,WIND,10/11/2021,17,08/11/2021 02:30,3447,09/11/2021 22:30,3050,10/11/2021 08:30,2905,Y,3,
17,WIND,10/11/2021,18,NULL,NULL,NULL,NULL,10/11/2021 09:00,2660,Y,3,
18,WIND,10/11/2021,19,08/11/2021 02:30,3198,09/11/2021 22:30,2893,10/11/2021 09:30,2579,Y,3,
19,WIND,10/11/2021,20,NULL,NULL,NULL,NULL,10/11/2021 10:00,2557,Y,3,
20,WIND,10/11/2021,21,08/11/2021 02:30,3186,09/11/2021 22:30,2704,10/11/2021 10:30,2448,Y,3,
21,WIND,10/11/2021,22,NULL,NULL,NULL,NULL,10/11/2021 11:00,2132,Y,4,
22,WIND,10/11/2021,23,08/11/2021 02:30,3182,09/11/2021 22:30,2586,10/11/2021 11:30,2152,Y,4,
23,WIND,10/11/2021,24,NULL,NULL,NULL,NULL,10/11/2021 12:00,2428,Y,4,
24,WIND,10/11/2021,25,08/11/2021 02:30,3185,09/11/2021 22:30,2521,10/11/2021 12:30,2541,Y,4,
25,WIND,10/11/2021,26,NULL,NULL,NULL,NULL,10/11/2021 13:00,2628,Y,4,
26,WIND,10/11/2021,27,08/11/2021 02:30,3217,09/11/2021 22:30,2512,10/11/2021 13:30,2578,Y,4,
27,WIND,10/11/2021,28,NULL,NULL,NULL,NULL,10/11/2021 14:00,2259,Y,4,
28,WIND,10/11/2021,29,08/11/2021 02:30,3260,09/11/2021 22:30,2522,10/11/2021 14:30,1886,Y,4,
29,WIND,10/11/2021,30,NULL,NULL,NULL,NULL,10/11/2021 15:00,1929,Y,5,
30,WIND,10/11/2021,31,08/11/2021 02:30,3312,09/11/2021 22:30,2649,10/11/2021 15:30,2206,Y,5,
31,WIND,10/11/2021,32,NULL,NULL,NULL,NULL,10/11/2021 16:00,2349,Y,5,
32,WIND,10/11/2021,33,08/11/2021 02:30,3517,09/11/2021 22:30,2955,10/11/2021 16:30,2377,Y,5,
33,WIND,10/11/2021,34,NULL,NULL,NULL,NULL,10/11/2021 17:00,2411,Y,5,
34,WIND,10/11/2021,35,08/11/2021 02:30,3732,09/11/2021 22:30,3246,10/11/2021 17:30,2542,Y,5,
35,WIND,10/11/2021,36,NULL,NULL,NULL,NULL,10/11/2021 18:00,2506,Y,5,
36,WIND,10/11/2021,37,08/11/2021 02:30,3945,09/11/2021 22:30,3549,10/11/2021 18:30,2397,Y,5,
37,WIND,10/11/2021,38,NULL,NULL,NULL,NULL,10/11/2021 19:00,2368,Y,6,
38,WIND,10/11/2021,39,08/11/2021 02:30,4156,09/11/2021 22:30,3834,10/11/2021 19:30,2391,Y,6,
39,WIND,10/11/2021,40,NULL,NULL,NULL,NULL,10/11/2021 20:00,2499,Y,6,
40,WIND,10/11/2021,41,08/11/2021 02:30,4374,09/11/2021 22:30,4091,10/11/2021 20:30,2568,Y,6,
41,WIND,10/11/2021,42,NULL,NULL,NULL,NULL,10/11/2021 21:00,2779,Y,6,
42,WIND,10/11/2021,43,08/11/2021 02:30,4600,10/11/2021 22:30,4099,10/11/2021 21:30,3042,Y,6,
43,WIND,10/11/2021,44,NULL,NULL,NULL,NULL,10/11/2021 22:00,3006,Y,6,
44,WIND,10/11/2021,45,09/11/2021 02:30,4697,10/11/2021 22:30,4224,10/11/2021 22:30,3026,Y,6,
45,WIND,10/11/2021,46,NULL,NULL,NULL,NULL,10/11/2021 23:00,3134,Y,1,
46,WIND,10/11/2021,47,09/11/2021 02:30,4890,10/11/2021 22:30,4297,10/11/2021 23:30,2848,Y,1,
47,WIND,10/11/2021,48,NULL,NULL,NULL,NULL,11/11/2021 00:00,2892,Y,1,
48,WIND,11/11/2021,1,09/11/2021 02:30,5088,10/11/2021 22:30,4289,11/11/2021 00:30,3067,Y,1,
49,WIND,11/11/2021,2,NULL,NULL,NULL,NULL,11/11/2021 01:00,2866,Y,1,
50,WIND,11/11/2021,3,09/11/2021 02:30,5051,10/11/2021 22:30,4103,11/11/2021 01:30,2810,Y,1,
51,WIND,11/11/2021,4,NULL,NULL,NULL,NULL,11/11/2021 02:00,2927,Y,1,
52,WIND,11/11/2021,5,09/11/2021 02:30,5003,10/11/2021 22:30,3758,11/11/2021 02:30,3089,Y,1,
53,WIND,11/11/2021,6,NULL,NULL,NULL,NULL,11/11/2021 03:00,2916,Y,2,
54,WIND,11/11/2021,7,09/11/2021 02:30,4945,10/11/2021 22:30,3307,11/11/2021 03:30,2873,Y,2,
55,WIND,11/11/2021,8,NULL,NULL,NULL,NULL,11/11/2021 04:00,2831,Y,2,
56,WIND,11/11/2021,9,09/11/2021 02:30,4744,10/11/2021 22:30,2820,11/11/2021 04:30,2767,Y,2,
57,WIND,11/11/2021,10,NULL,NULL,NULL,NULL,11/11/2021 05:00,2608,Y,2,
58,WIND,11/11/2021,11,09/11/2021 02:30,4535,10/11/2021 22:30,2323,11/11/2021 05:30,2524,Y,2,
59,WIND,11/11/2021,12,NULL,NULL,NULL,NULL,11/11/2021 06:00,2422,Y,2,
60,WIND,11/11/2021,13,09/11/2021 02:30,4316,10/11/2021 22:30,1890,11/11/2021 06:30,2299,Y,2,
61,WIND,11/11/2021,14,NULL,NULL,NULL,NULL,11/11/2021 07:00,2013,Y,3,
62,WIND,11/11/2021,15,09/11/2021 02:30,4044,10/11/2021 22:30,1547,11/11/2021 07:30,1832,Y,3,
63,WIND,11/11/2021,16,NULL,NULL,NULL,NULL,11/11/2021 08:00,1644,Y,3,
64,WIND,11/11/2021,17,09/11/2021 02:30,3769,10/11/2021 22:30,1323,11/11/2021 08:30,1502,Y,3,
65,WIND,11/11/2021,18,NULL,NULL,NULL,NULL,11/11/2021 09:00,1469,Y,3,
66,WIND,11/11/2021,19,09/11/2021 02:30,3491,10/11/2021 22:30,1213,11/11/2021 09:30,1383,Y,3,
67,WIND,11/11/2021,20,NaN,NaN,NaN,NaN,11/11/2021 10:00,1306,Y,3,
68,WIND,11/11/2021,21,09/11/2021 02:30,3257,10/11/2021 22:30,1207,11/11/2021 10:30,1292,Y,3,
69,WIND,11/11/2021,22,NaN,NaN,NaN,NaN,11/11/2021 11:00,1289,Y,4,
70,WIND,11/11/2021,23,09/11/2021 02:30,3011,10/11/2021 22:30,1303,11/11/2021 11:30,1480,Y,4,
71,WIND,11/11/2021,24,NaN,NaN,NaN,NaN,11/11/2021 12:00,1758,Y,4,
72,WIND,11/11/2021,25,09/11/2021 02:30,2760,10/11/2021 22:30,1544,11/11/2021 12:30,2015,Y,4,
73,WIND,11/11/2021,26,NaN,NaN,NaN,NaN,11/11/2021 13:00,2330,Y,4,
74,WIND,11/11/2021,27,09/11/2021 02:30,2442,10/11/2021 22:30,1881,11/11/2021 13:30,2858,Y,4,
75,WIND,11/11/2021,28,NaN,NaN,NaN,NaN,11/11/2021 14:00,3453,Y,4,
76,WIND,11/11/2021,29,09/11/2021 02:30,2144,10/11/2021 22:30,2361,11/11/2021 14:30,3837,Y,4,
77,WIND,11/11/2021,30,NaN,NaN,NaN,NaN,11/11/2021 15:00,4186,Y,5,
78,WIND,11/11/2021,31,09/11/2021 02:30,1881,10/11/2021 22:30,3002,11/11/2021 15:30,4349,Y,5,
79,WIND,11/11/2021,32,NaN,NaN,NaN,NaN,11/11/2021 16:00,4902,Y,5,
80,WIND,11/11/2021,33,09/11/2021 02:30,1892,10/11/2021 22:30,3868,11/11/2021 16:30,5495,Y,5,
81,WIND,11/11/2021,34,NaN,NaN,NaN,NaN,11/11/2021 17:00,6241,Y,5,
82,WIND,11/11/2021,35,09/11/2021 02:30,1921,10/11/2021 22:30,4858,11/11/2021 17:30,6820,Y,5,
83,WIND,11/11/2021,36,NaN,NaN,NaN,NaN,11/11/2021 18:00,7080,Y,5,
84,WIND,11/11/2021,37,09/11/2021 02:30,1966,10/11/2021 22:30,6094,11/11/2021 18:30,7575,Y,5,
85,WIND,11/11/2021,38,NaN,NaN,NaN,NaN,11/11/2021 19:00,8042,Y,6,
86,WIND,11/11/2021,39,09/11/2021 02:30,2296,10/11/2021 22:30,7260,11/11/2021 19:30,8047,Y,6,
87,WIND,11/11/2021,40,NaN,NaN,NaN,NaN,11/11/2021 20:00,8347,Y,6,
88,WIND,11/11/2021,41,09/11/2021 02:30,2662,10/11/2021 22:30,8291,11/11/2021 20:30,8832,Y,6,
89,WIND,11/11/2021,42,NaN,NaN,NaN,NaN,11/11/2021 21:00,9057,Y,6,
90,WIND,11/11/2021,43,09/11/2021 02:30,3063,11/11/2021 22:30,10352,11/11/2021 21:30,8992,Y,6,
91,WIND,11/11/2021,44,NaN,NaN,NaN,NaN,11/11/2021 22:00,8836,Y,6,
92,WIND,11/11/2021,45,10/11/2021 02:30,7856,11/11/2021 22:30,10923,11/11/2021 22:30,8720,Y,6,
93,WIND,11/11/2021,46,NaN,NaN,NaN,NaN,11/11/2021 23:00,8543,Y,1,
94,WIND,11/11/2021,47,10/11/2021 02:30,8572,11/11/2021 22:30,11506,11/11/2021 23:30,8776,Y,1,
95,WIND,11/11/2021,48,NaN,NaN,NaN,NaN,12/11/2021 00:00,9161,Y,1,
96,WIND,12/11/2021,1,10/11/2021 02:30,9258,11/11/2021 22:30,11981,12/11/2021 00:30,9136,Y,1,
97,WIND,12/11/2021,2,NaN,NaN,NaN,NaN,12/11/2021 01:00,9368,Y,1,
98,WIND,12/11/2021,3,10/11/2021 02:30,9682,11/11/2021 22:30,12360,12/11/2021 01:30,9793,Y,1,
99,WIND,12/11/2021,4,NaN,NaN,NaN,NaN,12/11/2021 02:00,9837,Y,1,
100,WIND,12/11/2021,5,10/11/2021 02:30,10115,11/11/2021 22:30,12651,12/11/2021 02:30,10243,Y,1,
101,WIND,12/11/2021,6,NaN,NaN,NaN,NaN,12/11/2021 03:00,10502,Y,2,
102,WIND,12/11/2021,7,10/11/2021 02:30,10540,11/11/2021 22:30,12787,12/11/2021 03:30,10696,Y,2,
103,WIND,12/11/2021,8,NaN,NaN,NaN,NaN,12/11/2021 04:00,10799,Y,2,
104,WIND,12/11/2021,9,10/11/2021 02:30,10772,11/11/2021 22:30,12758,12/11/2021 04:30,10785,Y,2,
105,WIND,12/11/2021,10,NaN,NaN,NaN,NaN,12/11/2021 05:00,10851,Y,2,
106,WIND,12/11/2021,11,10/11/2021 02:30,10991,11/11/2021 22:30,12726,12/11/2021 05:30,10862,Y,2,
107,WIND,12/11/2021,12,NaN,NaN,NaN,NaN,12/11/2021 06:00,11033,Y,2,
108,WIND,12/11/2021,13,10/11/2021 02:30,11193,11/11/2021 22:30,12714,12/11/2021 06:30,11436,Y,2,
109,WIND,12/11/2021,14,NaN,NaN,NaN,NaN,12/11/2021 07:00,12020,Y,3,
110,WIND,12/11/2021,15,10/11/2021 02:30,11375,11/11/2021 22:30,12860,12/11/2021 07:30,11982,Y,3,
111,WIND,12/11/2021,16,NaN,NaN,NaN,NaN,12/11/2021 08:00,12071,Y,3,
112,WIND,12/11/2021,17,10/11/2021 02:30,11545,11/11/2021 22:30,13147,12/11/2021 08:30,12181,Y,3,
113,WIND,12/11/2021,18,NaN,NaN,NaN,NaN,12/11/2021 09:00,12651,Y,3,
114,WIND,12/11/2021,19,10/11/2021 02:30,11702,11/11/2021 22:30,13384,12/11/2021 09:30,13206,Y,3,
115,WIND,12/11/2021,20,NaN,NaN,NaN,NaN,12/11/2021 10:00,13256,Y,3,
116,WIND,12/11/2021,21,10/11/2021 02:30,11759,11/11/2021 22:30,13378,12/11/2021 10:30,13242,Y,3,
117,WIND,12/11/2021,22,NaN,NaN,NaN,NaN,12/11/2021 11:00,13345,Y,4,
118,WIND,12/11/2021,23,10/11/2021 02:30,11802,11/11/2021 22:30,13181,12/11/2021 11:30,13320,Y,4,
119,WIND,12/11/2021,24,NaN,NaN,NaN,NaN,12/11/2021 12:00,13374,Y,4,
120,WIND,12/11/2021,25,10/11/2021 02:30,11826,11/11/2021 22:30,12855,12/11/2021 12:30,13386,Y,4,
121,WIND,12/11/2021,26,NaN,NaN,NaN,NaN,12/11/2021 13:00,13266,Y,4,
122,WIND,12/11/2021,27,10/11/2021 02:30,11622,11/11/2021 22:30,12315,12/11/2021 13:30,12990,Y,4,
123,WIND,12/11/2021,28,NaN,NaN,NaN,NaN,12/11/2021 14:00,12770,Y,4,
124,WIND,12/11/2021,29,10/11/2021 02:30,11397,11/11/2021 22:30,11837,12/11/2021 14:30,12579,Y,4,
125,WIND,12/11/2021,30,NaN,NaN,NaN,NaN,12/11/2021 15:00,12400,Y,5,
126,WIND,12/11/2021,31,10/11/2021 02:30,11152,11/11/2021 22:30,11441,12/11/2021 15:30,12119,Y,5,
127,WIND,12/11/2021,32,NaN,NaN,NaN,NaN,12/11/2021 16:00,12076,Y,5,
128,WIND,12/11/2021,33,10/11/2021 02:30,11048,11/11/2021 22:30,11341,12/11/2021 16:30,11996,Y,5,
129,WIND,12/11/2021,34,NaN,NaN,NaN,NaN,12/11/2021 17:00,11879,Y,5,
130,WIND,12/11/2021,35,10/11/2021 02:30,10933,11/11/2021 22:30,11382,12/11/2021 17:30,11912,Y,5,
131,WIND,12/11/2021,36,NaN,NaN,NaN,NaN,12/11/2021 18:00,11828,Y,5,
132,WIND,12/11/2021,37,10/11/2021 02:30,10808,11/11/2021 22:30,11427,12/11/2021 18:30,12039,Y,5,
133,WIND,12/11/2021,38,NaN,NaN,NaN,NaN,12/11/2021 19:00,12181,Y,6,
134,WIND,12/11/2021,39,10/11/2021 02:30,10605,11/11/2021 22:30,11486,12/11/2021 19:30,12244,Y,6,
135,WIND,12/11/2021,40,NaN,NaN,NaN,NaN,12/11/2021 20:00,12216,Y,6,
136,WIND,12/11/2021,41,10/11/2021 02:30,10392,11/11/2021 22:30,11489,12/11/2021 20:30,12055,Y,6,
137,WIND,12/11/2021,42,NaN,NaN,NaN,NaN,12/11/2021 21:00,11954,Y,6,
138,WIND,12/11/2021,43,10/11/2021 02:30,10169,12/11/2021 22:30,11267,12/11/2021 21:30,11842,Y,6,
139,WIND,12/11/2021,44,NaN,NaN,NaN,NaN,12/11/2021 22:00,11653,Y,6,
140,WIND,12/11/2021,45,11/11/2021 02:30,8283,12/11/2021 22:30,11070,12/11/2021 22:30,11506,Y,6,
141,WIND,12/11/2021,46,NaN,NaN,NaN,NaN,12/11/2021 23:00,11242,Y,1,
142,WIND,12/11/2021,47,11/11/2021 02:30,7814,12/11/2021 22:30,10773,12/11/2021 23:30,10927,Y,1,
143,WIND,12/11/2021,48,NaN,NaN,NaN,NaN,13/11/2021 00:00,10817,Y,1,
0,WIND,13/11/2021,1,11/11/2021 02:30,7292,12/11/2021 22:30,10418,13/11/2021 00:30,10426,Y,1,
1,WIND,13/11/2021,2,NaN,NaN,NaN,NaN,13/11/2021 01:00,10131,Y,1,
2,WIND,13/11/2021,3,11/11/2021 02:30,6667,12/11/2021 22:30,10003,13/11/2021 01:30,9899,Y,1,
3,WIND,13/11/2021,4,NaN,NaN,NaN,NaN,13/11/2021 02:00,9632,Y,1,
4,WIND,13/11/2021,5,11/11/2021 02:30,6012,12/11/2021 22:30,9525,13/11/2021 02:30,9441,Y,1,
5,WIND,13/11/2021,6,NaN,NaN,NaN,NaN,13/11/2021 03:00,9374,Y,2,
6,WIND,13/11/2021,7,11/11/2021 02:30,5354,12/11/2021 22:30,9207,13/11/2021 03:30,9313,Y,2,
7,WIND,13/11/2021,8,NaN,NaN,NaN,NaN,13/11/2021 04:00,9415,Y,2,
8,WIND,13/11/2021,9,11/11/2021 02:30,4808,12/11/2021 22:30,8851,13/11/2021 04:30,9198,Y,2,
9,WIND,13/11/2021,10,NaN,NaN,NaN,NaN,13/11/2021 05:00,8812,Y,2,
10,WIND,13/11/2021,11,11/11/2021 02:30,4263,12/11/2021 22:30,8403,13/11/2021 05:30,8889,Y,2,
11,WIND,13/11/2021,12,NaN,NaN,NaN,NaN,13/11/2021 06:00,8566,Y,2,
12,WIND,13/11/2021,13,11/11/2021 02:30,3737,12/11/2021 22:30,7824,13/11/2021 06:30,8261,Y,2,
13,WIND,13/11/2021,14,NaN,NaN,NaN,NaN,13/11/2021 07:00,8062,Y,3,
14,WIND,13/11/2021,15,11/11/2021 02:30,3253,12/11/2021 22:30,7138,13/11/2021 07:30,7808,Y,3,
15,WIND,13/11/2021,16,NaN,NaN,NaN,NaN,13/11/2021 08:00,7415,Y,3,
16,WIND,13/11/2021,17,11/11/2021 02:30,2812,12/11/2021 22:30,6353,13/11/2021 08:30,6796,Y,3,
17,WIND,13/11/2021,18,NaN,NaN,NaN,NaN,13/11/2021 09:00,6252,Y,3,
18,WIND,13/11/2021,19,11/11/2021 02:30,2428,12/11/2021 22:30,5591,13/11/2021 09:30,5597,Y,3,
19,WIND,13/11/2021,20,NaN,NaN,NaN,NaN,13/11/2021 10:00,5244,Y,3,
20,WIND,13/11/2021,21,11/11/2021 02:30,2180,12/11/2021 22:30,5026,13/11/2021 10:30,4991,Y,3,
21,WIND,13/11/2021,22,NaN,NaN,NaN,NaN,13/11/2021 11:00,4756,Y,4,
22,WIND,13/11/2021,23,11/11/2021 02:30,1972,12/11/2021 22:30,4543,13/11/2021 11:30,4503,Y,4,
23,WIND,13/11/2021,24,NULL,NULL,NULL,NULL,13/11/2021 12:00,4386,Y,4,
24,WIND,13/11/2021,25,11/11/2021 02:30,1800,12/11/2021 22:30,4187,13/11/2021 12:30,4239,Y,4,
25,WIND,13/11/2021,26,NULL,NULL,NULL,NULL,13/11/2021 13:00,3973,Y,4,
26,WIND,13/11/2021,27,11/11/2021 02:30,1755,12/11/2021 22:30,3997,13/11/2021 13:30,3958,Y,4,
27,WIND,13/11/2021,28,NULL,NULL,NULL,NULL,13/11/2021 14:00,4034,Y,4,
28,WIND,13/11/2021,29,11/11/2021 02:30,1717,12/11/2021 22:30,3865,13/11/2021 14:30,3901,Y,4,
29,WIND,13/11/2021,30,NULL,NULL,NULL,NULL,13/11/2021 15:00,3980,Y,5,
30,WIND,13/11/2021,31,11/11/2021 02:30,1685,12/11/2021 22:30,3793,13/11/2021 15:30,4085,Y,5,
31,WIND,13/11/2021,32,NULL,NULL,NULL,NULL,13/11/2021 16:00,4019,Y,5,
32,WIND,13/11/2021,33,11/11/2021 02:30,1734,12/11/2021 22:30,3763,13/11/2021 16:30,3999,Y,5,
33,WIND,13/11/2021,34,NULL,NULL,NULL,NULL,13/11/2021 17:00,4029,Y,5,
34,WIND,13/11/2021,35,11/11/2021 02:30,1793,12/11/2021 22:30,3741,13/11/2021 17:30,4146,Y,5,
35,WIND,13/11/2021,36,NULL,NULL,NULL,NULL,13/11/2021 18:00,4046,Y,5,
36,WIND,13/11/2021,37,11/11/2021 02:30,1863,12/11/2021 22:30,3677,13/11/2021 18:30,3871,Y,5,
37,WIND,13/11/2021,38,NULL,NULL,NULL,NULL,13/11/2021 19:00,3606,Y,6,
38,WIND,13/11/2021,39,11/11/2021 02:30,1874,12/11/2021 22:30,3664,13/11/2021 19:30,3635,Y,6,
39,WIND,13/11/2021,40,NULL,NULL,NULL,NULL,13/11/2021 20:00,3804,Y,6,
40,WIND,13/11/2021,41,11/11/2021 02:30,1903,12/11/2021 22:30,3639,13/11/2021 20:30,3735,Y,6,
41,WIND,13/11/2021,42,NULL,NULL,NULL,NULL,13/11/2021 21:00,3777,Y,6,
42,WIND,13/11/2021,43,11/11/2021 02:30,1950,13/11/2021 22:30,3497,13/11/2021 21:30,4035,Y,6,
43,WIND,13/11/2021,44,NULL,NULL,NULL,NULL,13/11/2021 22:00,4142,Y,6,
44,WIND,13/11/2021,45,12/11/2021 02:30,2891,13/11/2021 22:30,3654,13/11/2021 22:30,4079,Y,6,
45,WIND,13/11/2021,-1,NULL,NULL,NULL,NULL,13/11/2021 23:00,4037,Y,-1,
46,WIND,13/11/2021,-1,12/11/2021 02:30,2992,13/11/2021 22:30,3806,13/11/2021 23:30,4112,Y,-1,
47,WIND,13/11/2021,-1,NULL,NULL,NULL,NULL,14/11/2021 00:00,4228,Y,-1,
